Customer Name,Email,Mobile Number,Status,Created At,Updated At
akash,prakash@909.com,+919999999999,ACTIVE,2023:08:31 17:08,2023:09:29 05:09

Swoyam,swoyam@eztruck.co,+917608086659,ACTIVE,2023:09:01 06:09,2023:09:29 05:09

,,,DEACTIVE,,

prakash,prakash@gmail.com,+916371704668,ACTIVE,2023:09:01 12:09,2023:09:01 12:09

akash,akash@909.com,+916371704667,ACTIVE,2023:09:01 12:09,2023:09:01 15:09

rajesh,rajesh@gmail.com,+916371704665,ACTIVE,2023:09:02 12:09,2023:09:06 11:09

rakesh,rakesh@gmail.com,+916451490909,ACTIVE,2023:09:08 05:09,2023:09:09 15:09

rakesh,rakesh@gmail.com,+916371704666,ACTIVE,2023:09:08 12:09,2023:09:08 12:09

prakash,shijatshaji@gmail.com,+916371704662,ACTIVE,2023:09:08 12:09,2023:09:08 12:09

rakesh,rakesh@gmail.com,+916371704676,ACTIVE,2023:09:09 14:09,2023:09:09 14:09

rakesh,rakesh@gmail.com,+916371704674,ACTIVE,2023:09:09 15:09,2023:09:09 15:09

rakesh,rakesh@gmail.com,$2a$12$uZtNwpeLkK2SVAtQGXaPC.bex.V2iuraoZRE.H3D1lbzIiJIV9i6S,ACTIVE,2023:09:09 16:09,2023:09:09 16:09

Shija,shijatshaji@gmail.com,+919999999999,ACTIVE,2023:09:12 14:09,2023:09:13 07:09

rakesh,rakesh@gmail.com,+916371704797,ACTIVE,2023:09:13 11:09,2023:09:13 11:09

Shija Shaji,shijatshaji@gmail.com,+919999999999,ACTIVE,2023:09:14 13:09,2023:09:15 06:09

Shija,shijatshaji@gmail.com,+919769373389,ACTIVE,2023:09:15 12:09,2023:09:21 13:09

sudhir kumar samantaray,milu@gmail.com,+919769373380,ACTIVE,2023:10:03 04:10,2023:10:03 04:10

sudhir kumar samantaray,milu@gmail.com,+919769373384,ACTIVE,2023:10:03 04:10,2023:10:07 12:10


